experiment_index;n;avg_time_microseconds
0;2;7
5;3;7
10;4;9
15;5;11
20;6;21
25;7;33
30;8;44
35;9;66
40;10;104
45;11;134
50;12;251
55;13;249
60;14;335
65;15;431
70;16;555
75;17;716
80;18;897
85;19;1353
90;20;1477
95;21;1851
100;22;2120
105;23;2554
110;24;2963
115;25;3479
120;26;4207
125;27;4728
130;28;5450
135;29;6190
140;30;7071
145;31;8018
150;32;9091
155;33;10315
160;34;11362
165;35;13028
170;36;14341
175;37;16157
180;38;17524
185;39;19487
190;40;21965
195;41;24457
200;42;26894
205;43;29385
210;44;31549
215;45;35187
220;46;37738
225;47;41753
230;48;51490
235;49;53419
240;50;54775
245;51;57658
250;52;63624
255;53;69123
260;54;72512
265;55;77338
270;56;82646
275;57;88486
280;58;102940
285;59;105065
290;60;110595
295;61;120508
300;62;135681
305;63;140374
310;64;146188
315;65;155069
320;66;162723
325;67;169430
330;68;180982
335;69;190907
340;70;202680
345;71;215854
350;72;227872
355;73;237662
360;74;256532
365;75;276642
370;76;286893
375;77;311510
380;78;316035
385;79;333394
390;80;355790
395;81;366230
400;82;379248
405;83;402966
410;84;417354
415;85;443548
420;86;462216
425;87;498301
430;88;510827
435;89;541385
440;90;554026
445;91;576460
450;92;593963
455;93;633136
460;94;659119
465;95;679485
470;96;737741
475;97;744859
480;98;778911
485;99;811166
490;100;876891
