experiment_index;n;mod;avg_time_microseconds
0;2;1000003;7
5;3;1000003;7
10;4;1000003;10
15;5;1000003;13
20;6;1000003;20
25;7;1000003;31
30;8;1000003;45
35;9;1000003;74
40;10;1000003;98
45;11;1000003;162
50;12;1000003;187
55;13;1000003;251
60;14;1000003;330
65;15;1000003;439
70;16;1000003;566
75;17;1000003;699
80;18;1000003;874
85;19;1000003;1241
90;20;1000003;1492
95;21;1000003;1824
100;22;1000003;2142
105;23;1000003;2536
110;24;1000003;3060
115;25;1000003;3498
120;26;1000003;4150
125;27;1000003;4776
130;28;1000003;5581
135;29;1000003;6405
140;30;1000003;7148
145;31;1000003;8038
150;32;1000003;9224
155;33;1000003;10494
160;34;1000003;11697
165;35;1000003;13108
170;36;1000003;14590
175;37;1000003;16281
180;38;1000003;18066
185;39;1000003;19759
190;40;1000003;21981
195;41;1000003;23933
200;42;1000003;26769
205;43;1000003;29137
210;44;1000003;31822
215;45;1000003;35191
220;46;1000003;38356
225;47;1000003;41819
230;48;1000003;45486
235;49;1000003;49968
240;50;1000003;56514
245;51;1000003;58107
