n;avg_time_microseconds
2;4
3;6
4;10
5;11
6;16
7;21
8;25
9;34
10;40
11;51
12;62
13;80
14;85
15;101
16;125
17;145
18;168
19;194
20;237
21;251
22;284
23;341
24;378
25;398
26;444
27;507
28;556
29;641
30;674
31;750
32;808
33;949
34;969
35;1071
36;1144
37;1243
38;1339
39;1413
40;1541
41;1675
42;1768
43;1916
44;2061
45;2206
46;2437
47;2600
48;2712
49;2942
50;2912
51;3108
52;3345
53;3468
54;3684
55;3939
56;4158
57;4389
58;4694
59;4690
60;5074
61;5376
62;5610
63;5746
64;5876
65;6328
66;6806
67;7201
68;7195
69;8021
70;8261
71;7993
72;8942
73;9150
74;9168
75;9356
76;10150
77;10233
78;10992
